                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99452,                 0.5408,                 1.1067,                      1,                0.95876,                0.97659,                0.68986,                 1.1311,                0.50099,                 1.1982,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.9812,                 0.5349,                 1.0984,                      1,                0.95449,                0.97656,                0.67991,                 1.1739,                0.60927,                 1.2391,               0.001307,               0.001307,               0.001307
                     37,                  1.005,                 0.5426,                 1.1018,                0.99837,                0.94667,                0.96324,                0.64567,                 1.1642,                0.58444,                 1.1823,              0.0012872,              0.0012872,              0.0012872
                     38,                0.98831,                0.51146,                 1.1028,                      1,                0.94538,                0.96984,                0.66557,                 1.1904,                0.55533,                 1.2062,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0155,                0.52327,                 1.1021,                0.99851,                0.94667,                0.96405,                0.68381,                 1.1441,                0.62868,                 1.1897,              0.0012476,              0.0012476,              0.0012476
                     40,                0.94112,                0.49137,                  1.064,                0.98412,                   0.96,                0.97453,                0.67185,                  1.116,                0.56675,                 1.1731,              0.0012278,              0.0012278,              0.0012278
                     41,                0.95901,                 0.4907,                 1.0554,                0.98628,                0.95822,                0.98914,                0.71722,                 1.0736,                0.48525,                 1.1516,               0.001208,               0.001208,               0.001208
                     42,                0.93495,                0.49088,                 1.0765,                0.97323,                0.96967,                0.98743,                 0.6873,                 1.1575,                0.50593,                 1.2032,              0.0011882,              0.0011882,              0.0011882
                     43,                0.94559,                0.47898,                 1.0694,                0.98525,                   0.96,                0.96597,                0.67969,                 1.1154,                0.54858,                 1.1746,              0.0011684,              0.0011684,              0.0011684
                     44,                0.93732,                0.48977,                 1.0819,                0.98628,                0.95853,                0.97911,                0.69322,                 1.1313,                 0.5004,                 1.2063,              0.0011486,              0.0011486,              0.0011486
                     45,                0.97016,                 0.5082,                 1.0775,                0.98644,                0.96974,                0.98465,                0.71591,                   1.11,                0.51153,                 1.1692,              0.0011288,              0.0011288,              0.0011288
                     46,                0.93626,                0.48301,                 1.0549,                0.99556,                0.94667,                0.96719,                0.68036,                 1.1373,                0.56368,                 1.1599,               0.001109,               0.001109,               0.001109
                     47,                0.94701,                0.49902,                 1.0679,                0.99738,                0.94667,                0.97547,                 0.6849,                 1.1172,                0.54138,                 1.1752,              0.0010892,              0.0010892,              0.0010892
                     48,                0.92289,                0.49078,                 1.0702,                0.97234,                0.94667,                0.96371,                0.67733,                 1.0791,                0.54667,                 1.1395,              0.0010694,              0.0010694,              0.0010694
                     49,                0.90487,                0.47133,                 1.0585,                0.99853,                0.94667,                0.96587,                0.68204,                 1.0893,                0.54748,                 1.1637,              0.0010496,              0.0010496,              0.0010496
                     50,                0.90886,                0.47353,                 1.0555,                0.99673,                0.94667,                0.97095,                 0.6969,                 1.1325,                0.58926,                 1.1904,              0.0010298,              0.0010298,              0.0010298
                     51,                0.92168,                0.48556,                 1.0611,                0.97943,                   0.96,                0.98311,                0.68947,                 1.1083,                0.51204,                 1.1693,                0.00101,                0.00101,                0.00101
                     52,                0.92644,                0.49115,                 1.0621,                 0.9863,                0.95964,                0.96439,                0.68911,                 1.0832,                0.53804,                 1.1533,              0.0009902,              0.0009902,              0.0009902
                     53,                0.89818,                 0.4569,                 1.0502,                0.99442,                0.94667,                0.97841,                0.69571,                  1.154,                0.58102,                 1.2174,              0.0009704,              0.0009704,              0.0009704
                     54,                0.89285,                0.46211,                 1.0443,                0.99666,                0.94667,                0.97915,                0.70774,                  1.121,                0.52102,                  1.187,              0.0009506,              0.0009506,              0.0009506
                     55,                0.87481,                0.47733,                 1.0395,                0.99695,                0.94667,                0.96107,                0.69243,                 1.0758,                0.53196,                 1.1522,              0.0009308,              0.0009308,              0.0009308
                     56,                0.89928,                0.45982,                 1.0426,                      1,                0.95593,                0.97847,                0.70791,                  1.064,                0.47141,                 1.1519,               0.000911,               0.000911,               0.000911
                     57,                0.86383,                0.44164,                 1.0369,                0.99763,                0.94667,                0.98109,                0.70727,                 1.0684,                0.50761,                 1.1466,              0.0008912,              0.0008912,              0.0008912
                     58,                0.87659,                0.46088,                 1.0461,                0.99866,                0.94667,                0.97862,                 0.7045,                  1.083,                0.55846,                 1.1566,              0.0008714,              0.0008714,              0.0008714
                     59,                0.85218,                0.45306,                 1.0286,                0.99831,                0.94667,                0.96361,                 0.6828,                 1.1038,                0.54568,                 1.1778,              0.0008516,              0.0008516,              0.0008516
                     60,                0.85613,                0.45014,                 1.0356,                0.99772,                0.94667,                0.97192,                 0.6946,                  1.141,                0.51591,                 1.1875,              0.0008318,              0.0008318,              0.0008318
                     61,                0.85081,                0.43962,                  1.031,                0.99672,                0.94667,                0.97631,                0.69202,                 1.0798,                0.51383,                 1.1294,               0.000812,               0.000812,               0.000812
                     62,                0.83697,                0.43455,                 1.0153,                0.99645,                0.94667,                0.96459,                0.70197,                 1.0924,                0.50435,                 1.1486,              0.0007922,              0.0007922,              0.0007922
                     63,                0.83974,                0.43896,                 1.0204,                0.99263,                0.94667,                0.97216,                0.69155,                 1.1436,                0.50749,                 1.1559,              0.0007724,              0.0007724,              0.0007724
                     64,                0.84371,                0.44544,                 1.0148,                0.98624,                0.95554,                0.97661,                0.69798,                 1.1108,                0.52641,                 1.1591,              0.0007526,              0.0007526,              0.0007526
                     65,                0.85782,                0.44593,                 1.0228,                0.99747,                0.94667,                0.96855,                0.67471,                 1.1165,                0.55113,                 1.1631,              0.0007328,              0.0007328,              0.0007328
                     66,                0.84686,                0.44298,                 1.0264,                 0.9959,                0.94667,                0.97219,                0.69761,                  1.118,                0.57403,                 1.1697,               0.000713,               0.000713,               0.000713
                     67,                0.82053,                0.42676,                 1.0078,                0.98629,                 0.9592,                  0.968,                0.69281,                 1.1393,                0.57638,                  1.187,              0.0006932,              0.0006932,              0.0006932
                     68,                0.81933,                0.42255,                 1.0244,                0.99803,                0.94667,                0.98365,                0.69131,                 1.1098,                0.49057,                 1.1568,              0.0006734,              0.0006734,              0.0006734
